Date,Heating Oil Price,Gold Price,USD_Index,Refinary Operation Capacity
8/28/00,0.9764,277,111.419998,94.9
9/4/00,0.9949,273.299988,114.339996,96
9/11/00,1.031,272.299988,115.940002,96
9/18/00,0.9555,271.799988,113.559998,93.3
9/25/00,0.93,273.600006,113.25,95.3
10/2/00,0.933,269.299988,114.849998,94.7
10/9/00,1.017,272.399994,115.860001,92.4
10/16/00,0.9711,271.200012,117.160004,90.9
10/23/00,0.9777,264.399994,117.389999,92.4
10/30/00,0.9217,264.600006,114.970001,93.5
11/6/00,1.0075,264.5,115.790001,93
11/13/00,1.0788,265.700012,117.309998,92.8
11/20/00,1.0944,266.299988,118.480003,92.1
11/27/00,0.971,268.700012,114.730003,90.1
12/4/00,0.9447,272.200012,114.050003,91.8
12/11/00,0.918,270.399994,112.900002,93.2
12/18/00,0.878,273.700012,110.82,93.3
12/25/00,0.9066,272,109.559998,93
1/1/01,0.8625,268,108.419998,93.5
1/8/01,0.8421,263.899994,109.360001,91.8
1/15/01,0.8797,264.299988,110.660004,92.2
1/22/01,0.8456,262.799988,111.459999,90.5
1/29/01,0.822,267.100006,110.32,90.8
2/5/01,0.8224,259.899994,111.519997,89.8
2/12/01,0.7601,258.200012,112.260002,89.6
2/19/01,0.741,260.899994,112.029999,89.3
2/26/01,0.727,262.100006,111.169998,91.1
3/5/01,0.7291,270.799988,111.440002,91.8
3/12/01,0.702,258.100006,115.32,90.1
3/19/01,0.763,261.5,115.940002,91.2
3/26/01,0.7045,257.899994,117.370003,89.3
4/2/01,0.7283,260,114.75,89.1
4/9/01,0.7805,260.100006,115.540001,90.4
4/16/01,0.77,264.799988,114.32,93.7
4/23/01,0.7574,263.899994,115.620003,96.2
4/30/01,0.7657,266.100006,114.93,96.2
5/7/01,0.7605,267.899994,116.839996,95.8
5/14/01,0.8044,287.399994,116.410004,93.7
5/21/01,0.7818,277.899994,118.18,95.4
5/28/01,0.7592,266.399994,118.889999,95.5
6/4/01,0.7665,273.399994,119.209999,97.6
6/11/01,0.8045,271.200012,118.290001,97.2
6/18/01,0.7339,272.299988,118.910004,93.6
6/25/01,0.7125,270.600006,119.43,93.1
7/2/01,0.7378,265.899994,119.900002,95.7
7/9/01,0.6874,267.100006,119.330002,96.1
7/16/01,0.6811,269.899994,117.209999,94.4
7/23/01,0.7131,267.399994,116.940002,92.6
7/30/01,0.7262,267.899994,116.139999,93
8/6/01,0.7439,273.899994,115.290001,93.1
8/13/01,0.707,279.299988,112.989998,93.4
8/20/01,0.746,272.5,113.330002,91.9
8/27/01,0.7663,274.399994,113.419998,91.6
9/3/01,0.8028,273.100006,114.050003,93.3
9/10/01,0.8327,290.200012,114.57,95.4
9/17/01,0.7087,291.899994,113.040001,90.9
9/24/01,0.6635,292.399994,113.480003,89.3
10/1/01,0.6402,291.399994,112.910004,90.8
10/8/01,0.6384,284.899994,113.889999,91.7
10/15/01,0.6263,280.100006,114.860001,91.1
10/22/01,0.6236,277.899994,115.650002,92.2
10/29/01,0.5826,279.799988,114.540001,92.5
