Date,ppm,decimal,#days,1 yr ago,10 yr ago,since 1800,crude price,past_1,past_2,past_3,past_4,past_5
8/27/00,367.7,2000.6544,5,365.67,351.54,90.35,32.46,,,,,
9/3/00,367.32,2000.6735,6,364.27,351.16,90.35,33.08,32.46,,,,
9/10/00,367.33,2000.6926,6,365.16,351.06,90.65,34.42,33.08,32.46,,,
9/17/00,366.86,2000.7117,7,365.33,351.66,90.36,34.7,34.42,33.08,32.46,,
9/24/00,366.86,2000.7309,5,364.8,351.5,90.42,35.49,34.7,34.42,33.08,32.46,
10/1/00,366.78,2000.75,7,365.22,351.38,90.31,31.13,35.49,34.7,34.42,33.08,32.46
10/8/00,366.88,2000.7691,7,365.4,351.57,90.28,31.27,31.13,35.49,34.7,34.42,33.08
10/15/00,367.14,2000.7883,6,365.61,351.62,90.33,33.9,31.27,31.13,35.49,34.7,34.42
10/22/00,367.62,2000.8074,7,365.81,351.86,90.55,33.48,33.9,31.27,31.13,35.49,34.7
10/29/00,368,2000.8265,7,366.1,352.35,90.62,33.92,33.48,33.9,31.27,31.13,35.49
11/5/00,368.2,2000.8456,5,366.72,352.74,90.5,32.78,33.92,33.48,33.9,31.27,31.13
11/12/00,368.75,2000.8648,7,366.89,353.24,90.71,33.46,32.78,33.92,33.48,33.9,31.27
11/19/00,368.64,2000.8839,4,367.22,353.52,90.26,35,33.46,32.78,33.92,33.48,33.9
11/26/00,368.85,2000.903,6,367.57,353.67,90.16,35.91,35,33.46,32.78,33.92,33.48
12/3/00,369.84,2000.9221,7,367.93,353.92,90.84,34.1,35.91,35,33.46,32.78,33.92
12/10/00,369.83,2000.9413,7,368.06,354.32,90.55,29.69,34.1,35.91,35,33.46,32.78
12/17/00,369.81,2000.9604,7,368.43,354.44,90.28,29.05,29.69,34.1,35.91,35,33.46
12/24/00,370.02,2000.9795,7,368.88,354.92,90.27,27.38,29.05,29.69,34.1,35.91,35
12/31/00,370.34,2000.9986,7,368.87,354.7,90.45,26.52,27.38,29.05,29.69,34.1,35.91
1/7/01,370.46,2001.0178,7,369.05,354.65,90.4,27.8,26.52,27.38,29.05,29.69,34.1
1/14/01,370.84,2001.037,6,369.74,355.22,90.63,28.81,27.8,26.52,27.38,29.05,29.69
1/21/01,370.69,2001.0562,7,370.42,354.85,90.34,30.63,28.81,27.8,26.52,27.38,29.05
1/28/01,371.53,2001.0753,7,369.54,355.44,91.06,31.35,30.63,28.81,27.8,26.52,27.38
2/4/01,371.76,2001.0945,6,369.51,355.44,91.16,29.59,31.35,30.63,28.81,27.8,26.52
2/11/01,372.14,2001.1137,6,369.93,356.14,91.41,30.92,29.59,31.35,30.63,28.81,27.8
2/18/01,371.66,2001.1329,7,369.67,356.36,90.77,29.67,30.92,29.59,31.35,30.63,28.81
2/25/01,371.9,2001.1521,7,370.15,356.16,90.85,28.65,29.67,30.92,29.59,31.35,30.63
3/4/01,372.37,2001.1712,5,370.24,357.1,91.11,27.91,28.65,29.67,30.92,29.59,31.35
3/11/01,372.67,2001.1904,7,370.71,357.85,91.19,28.45,27.91,28.65,29.67,30.92,29.59
3/18/01,372.72,2001.2096,7,371.21,357.04,91,27.02,28.45,27.91,28.65,29.67,30.92
3/25/01,372.58,2001.2288,5,371.07,357.61,90.61,26.42,27.02,28.45,27.91,28.65,29.67
4/1/01,372.63,2001.2479,7,371.28,358.66,90.42,26.86,26.42,27.02,28.45,27.91,28.65
4/8/01,373.79,2001.2671,7,371.91,357.87,91.35,26.76,26.86,26.42,27.02,28.45,27.91
4/15/01,373.9,2001.2863,7,372.71,359,91.25,28.27,26.76,26.86,26.42,27.02,28.45
4/22/01,373.79,2001.3055,7,372.07,359.33,90.99,27.89,28.27,26.76,26.86,26.42,27.02
4/29/01,373.73,2001.3247,5,371.06,359.27,90.82,26.99,27.89,28.27,26.76,26.86,26.42
5/6/01,374.12,2001.3438,4,371.96,358.94,91.15,28.36,26.99,27.89,28.27,26.76,26.86
5/13/01,373.88,2001.363,4,371.59,359.65,90.92,28.12,28.36,26.99,27.89,28.27,26.76
5/20/01,374.09,2001.3822,7,372.3,359.54,91.19,29.08,28.12,28.36,26.99,27.89,28.27
5/27/01,374.07,2001.4014,7,371.98,358.72,91.29,28.92,29.08,28.12,28.36,26.99,27.89
6/3/01,373.65,2001.4205,5,372.06,358.42,91.04,28.44,28.92,29.08,28.12,28.36,26.99
6/10/01,373.23,2001.4397,5,371.85,358.5,90.85,27.98,28.44,28.92,29.08,28.12,28.36
6/17/01,373.3,2001.4589,7,371.99,358.18,91.18,28.9,27.98,28.44,28.92,29.08,28.12
6/24/01,373.2,2001.4781,7,371.49,357.75,91.4,27.09,28.9,27.98,28.44,28.92,29.08
7/1/01,372.66,2001.4973,7,370.49,357.31,91.24,26.37,27.09,28.9,27.98,28.44,28.92
7/8/01,371.52,2001.5164,4,370.37,356.68,90.51,26.87,26.37,27.09,28.9,27.98,28.44
7/15/01,371.48,2001.5356,7,370.15,356.01,90.94,27.07,26.87,26.37,27.09,28.9,27.98
7/22/01,371.04,2001.5548,5,369.58,355.25,91.02,25.26,27.07,26.87,26.37,27.09,28.9
7/29/01,371.06,2001.574,3,369.15,355.55,91.57,26.5,25.26,27.07,26.87,26.37,27.09
8/5/01,370.09,2001.5932,7,368.68,354.65,91.14,27.1,26.5,25.26,27.07,26.87,26.37
8/12/01,369.36,2001.6123,6,368.37,354.09,90.95,27.87,27.1,26.5,25.26,27.07,26.87
8/19/01,369.48,2001.6315,7,367.87,353.24,91.58,27.52,27.87,27.1,26.5,25.26,27.07
8/26/01,369.45,2001.6507,7,367.63,353.1,92.01,27.25,27.52,27.87,27.1,26.5,25.26
9/2/01,368.5,2001.6699,7,367.41,353.07,91.44,26.84,27.25,27.52,27.87,27.1,26.5
9/9/01,368.72,2001.689,6,367.33,352.41,91.95,27.38,26.84,27.25,27.52,27.87,27.1
9/16/01,368.21,2001.7082,7,366.89,351.99,91.64,28.22,27.38,26.84,27.25,27.52,27.87
9/23/01,367.97,2001.7274,6,366.87,351.96,91.49,27.09,28.22,27.38,26.84,27.25,27.52
9/30/01,368.21,2001.7466,7,366.83,351.74,91.72,22.35,27.09,28.22,27.38,26.84,27.25
10/7/01,368.46,2001.7658,7,366.78,352.2,91.87,22.6,22.35,27.09,28.22,27.38,26.84
10/14/01,368.33,2001.7849,7,367.17,352.62,91.56,22.66,22.6,22.35,27.09,28.22,27.38
10/21/01,368.87,2001.8041,7,367.51,352.81,91.86,21.92,22.66,22.6,22.35,27.09,28.22
10/28/01,369.29,2001.8233,7,367.94,353.14,91.99,21.78,21.92,22.66,22.6,22.35,27.09
11/4/01,369.29,2001.8425,6,368.21,353.84,91.67,21.17,21.78,21.92,22.66,22.6,22.35
11/11/01,370.01,2001.8616,3,368.66,353.8,92.06,20.7,21.17,21.78,21.92,22.66,22.6
11/18/01,370.4,2001.8808,6,368.66,353.95,92.12,19.61,20.7,21.17,21.78,21.92,22.66
11/25/01,370.61,2001.9,7,368.78,354.28,92.01,18.28,19.61,20.7,21.17,21.78,21.92
12/2/01,370.96,2001.9192,7,369.69,354.72,92.06,19.13,18.28,19.61,20.7,21.17,21.78
12/9/01,371.4,2001.9384,6,369.9,354.99,92.22,19.47,19.13,18.28,19.61,20.7,21.17
12/16/01,371.44,2001.9575,7,369.77,355.3,92,18.45,19.47,19.13,18.28,19.61,20.7
12/23/01,371.87,2001.9767,6,370.02,355.65,92.2,19.2,18.45,19.47,19.13,18.28,19.61
12/30/01,372.38,2001.9959,7,370.26,356.5,92.53,20.94,19.2,18.45,19.47,19.13,18.28
1/6/02,372.38,2002.0151,7,370.36,356.27,92.32,20.8,20.94,19.2,18.45,19.47,19.13
1/13/02,372.91,2002.0342,7,371.01,356.6,92.67,20.54,20.8,20.94,19.2,18.45,19.47
1/20/02,372.75,2002.0534,7,370.52,356.18,92.34,18.61,20.54,20.8,20.94,19.2,18.45
1/27/02,372.99,2002.0726,4,371.58,356.32,92.41,19.21,18.61,20.54,20.8,20.94,19.2
2/3/02,373.13,2002.0918,7,371.82,357.09,92.4,19.71,19.21,18.61,20.54,20.8,20.94
2/10/02,373.18,2002.111,7,371.83,357.24,92.3,19.97,19.71,19.21,18.61,20.54,20.8
2/17/02,373.26,2002.1301,7,371.81,357.3,92.23,21.18,19.97,19.71,19.21,18.61,20.54
2/24/02,373.91,2002.1493,7,371.67,357.18,92.72,20.7,21.18,19.97,19.71,19.21,18.61
3/3/02,374.06,2002.1685,6,372.51,356.93,92.68,21.43,20.7,21.18,19.97,19.71,19.21
3/10/02,374.31,2002.1877,7,372.69,358.06,92.72,23.31,21.43,20.7,21.18,19.97,19.71
3/17/02,374.81,2002.2068,5,372.69,358.41,93.01,24.4,23.31,21.43,20.7,21.18,19.97
