Date,crude_price
8/27/00,32.46
9/3/00,33.08
9/10/00,34.42
9/17/00,34.7
9/24/00,35.49
10/1/00,31.13
10/8/00,31.27
10/15/00,33.9
10/22/00,33.48
10/29/00,33.92
11/5/00,32.78
11/12/00,33.46
11/19/00,35
11/26/00,35.91
12/3/00,34.1
12/10/00,29.69
12/17/00,29.05
12/24/00,27.38
12/31/00,26.52
1/7/01,27.8
1/14/01,28.81
1/21/01,30.63
1/28/01,31.35
2/4/01,29.59
2/11/01,30.92
2/18/01,29.67
2/25/01,28.65
3/4/01,27.91
3/11/01,28.45
3/18/01,27.02
3/25/01,26.42
4/1/01,26.86
4/8/01,26.76
4/15/01,28.27
4/22/01,27.89
4/29/01,26.99
5/6/01,28.36
5/13/01,28.12
5/20/01,29.08
5/27/01,28.92
6/3/01,28.44
6/10/01,27.98
6/17/01,28.9
6/24/01,27.09
7/1/01,26.37
7/8/01,26.87
7/15/01,27.07
7/22/01,25.26
7/29/01,26.5
8/5/01,27.1
8/12/01,27.87
8/19/01,27.52
8/26/01,27.25
9/2/01,26.84
9/9/01,27.38
9/16/01,28.22
9/23/01,27.09
9/30/01,22.35
10/7/01,22.6
10/14/01,22.66
10/21/01,21.92
10/28/01,21.78
11/4/01,21.17
11/11/01,20.7
11/18/01,19.61
11/25/01,18.28
12/2/01,19.13
12/9/01,19.47
12/16/01,18.45
12/23/01,19.2
12/30/01,20.94
1/6/02,20.8
1/13/02,20.54
1/20/02,18.61
1/27/02,19.21
2/3/02,19.71
2/10/02,19.97
2/17/02,21.18
2/24/02,20.7
3/3/02,21.43
3/10/02,23.31
3/17/02,24.4
3/24/02,25.25
3/31/02,25.86
4/7/02,26.99
4/14/02,25.24
4/21/02,25.54
4/28/02,26.46
5/5/02,26.88
5/12/02,27.27
5/19/02,28.43
5/26/02,27.18
6/2/02,25.22
6/9/02,25.01
6/16/02,24.94
6/23/02,25.61
6/30/02,26.52
7/7/02,26.81
7/14/02,26.7
7/21/02,27.62
7/28/02,26.64
8/4/02,26.87
8/11/02,26.77
8/18/02,28.52
8/25/02,30.09
9/1/02,28.84
9/8/02,28.65
9/15/02,29.59
9/22/02,29.39
9/29/02,30.63
10/6/02,30.25
10/13/02,29.37
10/20/02,29.65
10/27/02,27.88
11/3/02,27.03
11/10/02,25.97
11/17/02,25.68
11/24/02,26.98
12/1/02,26.83
12/8/02,27.14
12/15/02,27.82
12/22/02,30.35
12/29/02,32.38
1/5/03,31.96
1/12/03,31.54
1/19/03,33.04
1/26/03,34.46
2/2/03,33.19
2/9/03,33.95
2/16/03,35.79
2/23/03,36.78
3/2/03,36.98
3/9/03,36.98
3/16/03,36.66
3/23/03,30.46
3/30/03,30.43
4/6/03,29.33
4/13/03,28.03
4/20/03,29.28
4/27/03,28.43
5/4/03,25.69
5/11/03,26.58
5/18/03,28.54
5/25/03,29.29
6/1/03,29.1
6/8/03,30.68
6/15/03,31.46
6/22/03,30.6
6/29/03,30.01
7/6/03,30.31
7/13/03,30.73
7/20/03,31.48
7/27/03,30.61
8/3/03,30.73
8/10/03,32.11
8/17/03,31.31
8/24/03,31.19
8/31/03,31.56
9/7/03,29.2
9/14/03,28.92
9/21/03,27.39
9/28/03,27.73
10/5/03,29.43
10/12/03,30.69
10/19/03,31.49
10/26/03,30.17
11/2/03,29.28
11/9/03,29.79
11/16/03,31.56
11/23/03,32.58
11/30/03,30.11
12/7/03,30.63
12/14/03,32.16
12/21/03,33.2
12/28/03,32.24
1/4/04,32.68
1/11/04,33.89
1/18/04,34.51
1/25/04,35.45
2/1/04,33.61
2/8/04,33.41
2/15/04,33.88
2/22/04,35.54
2/29/04,36.08
3/7/04,36.67
3/14/04,36.44
3/21/04,37.78
3/28/04,36.65
4/4/04,35.23
4/11/04,35.7
4/18/04,37.39
4/25/04,37.32
5/2/04,37.31
5/9/04,39.24
5/16/04,40.37
5/23/04,40.84
5/30/04,40.65
6/6/04,40.01
6/13/04,37.99
6/20/04,37.86
6/27/04,37.7
7/4/04,37.14
7/11/04,39.73
7/18/04,40.33
7/25/04,41.27
8/1/04,42.5
8/8/04,43.81
8/15/04,45.24
8/22/04,47.28
8/29/04,44.34
9/5/04,43.28
9/12/04,43.33
9/19/04,44.39
9/26/04,47.82
10/3/04,49.71
10/10/04,51.77
10/17/04,54.12
10/24/04,54.43
10/31/04,53.43
11/7/04,49.81
11/14/04,48
11/21/04,47.02
11/28/04,48.79
12/5/04,46.06
12/12/04,41.91
12/19/04,43.5
12/26/04,44.39
1/2/05,42.52
1/9/05,44.07
1/16/05,46.79
1/23/05,47.85
1/30/05,48.56
2/6/05,46.97
2/13/05,46.08
2/20/05,47.82
2/27/05,51.75
3/6/05,52.74
3/13/05,54.22
3/20/05,55.93
3/27/05,52.95
4/3/05,54.97
4/10/05,55.24
4/17/05,51.44
4/24/05,52.39
5/1/05,52
5/8/05,50.64
5/15/05,50.33
5/22/05,47.77
5/29/05,50.15
6/5/05,53.76
6/12/05,53.74
6/19/05,56.18
6/26/05,59.04
7/3/05,58.21
7/10/05,60.36
7/17/05,59.18
7/24/05,57.3
7/31/05,59.39
8/7/05,61.64
8/14/05,64.85
8/21/05,64.92
8/28/05,66.34
9/4/05,68.47
9/11/05,64.81
9/18/05,63.84
9/25/05,66.43
10/2/05,66.06
10/9/05,63.06
10/16/05,62.87
10/23/05,62.28
10/30/05,61.33
11/6/05,60.34
11/13/05,58.8
11/20/05,57
11/27/05,58.13
12/4/05,57.78
12/11/05,59.83
12/18/05,60.32
12/25/05,57.97
1/1/06,59.82
1/8/06,63.39
1/15/06,63.74
1/22/06,66.79
1/29/06,66.82
2/5/06,66.59
2/12/06,63.06
2/19/06,59.37
2/26/06,59.93
3/5/06,62.27
3/12/06,60.89
3/19/06,62.64
3/26/06,61.36
4/2/06,65.67
4/9/06,66.56
4/16/06,68.85
4/23/06,71.87
4/30/06,70.38
5/7/06,72.14
5/14/06,71.5
5/21/06,69.07
5/28/06,70.35
6/4/06,71.53
6/11/06,71.54
6/18/06,69.48
6/25/06,69.94
7/2/06,72.65
7/9/06,74.65
7/16/06,75.21
7/23/06,73.98
7/30/06,73.87
8/6/06,75.2
8/13/06,75.63
8/20/06,71.79
8/27/06,72.12
9/3/06,70.01
9/10/06,67.53
9/17/06,63.98
9/24/06,61.4
10/1/06,61.94
10/8/06,59.77
10/15/06,58.58
10/22/06,58.48
10/29/06,58.88
11/5/06,58.55
11/12/06,59.96
11/19/06,57.56
11/26/06,57.24
12/3/06,62.02
12/10/06,62.32
12/17/06,61.91
12/24/06,62.4
12/31/06,60.66
1/7/07,57.76
1/14/07,54.11
1/21/07,51.51
1/28/07,53.57
2/4/07,57.11
2/11/07,58.99
2/18/07,58.41
2/25/07,59.57
3/4/07,61.64
3/11/07,60.85
3/18/07,57.94
3/25/07,58.26
4/1/07,64.18
4/8/07,64.82
4/15/07,62.58
4/22/07,63.06
4/29/07,65.26
5/6/07,63.82
5/13/07,61.9
5/20/07,63.61
5/27/07,64.89
6/3/07,63.94
6/10/07,65.9
6/17/07,66.62
6/24/07,68.78
7/1/07,69.13
7/8/07,71.78
7/15/07,72.79
7/22/07,74.92
7/29/07,75.15
8/5/07,76.75
8/12/07,71.92
8/19/07,72.05
8/26/07,70.19
9/2/07,72.93
9/9/07,75.96
9/16/07,78.95
9/23/07,82.26
9/30/07,81.7
10/7/07,80.59
10/14/07,81.46
10/21/07,87.8
10/28/07,89.23
11/4/07,93.46
11/11/07,95.81
11/18/07,93.56
11/25/07,97.93
12/2/07,92.47
12/9/07,88.71
12/16/07,91.18
12/23/07,91.16
12/30/07,95.64
1/6/08,98.17
1/13/08,94.76
1/20/08,91.51
1/27/08,89.41
2/3/08,91.14
2/10/08,89.08
2/17/08,94.13
2/24/08,99.61
3/2/08,100.84
3/9/08,103.44
3/16/08,109.35
3/23/08,105.28
3/30/08,104.49
4/6/08,103.46
4/13/08,109.71
4/20/08,114.33
4/27/08,118.53
5/4/08,115.42
5/11/08,123.01
5/18/08,124.96
5/25/08,130.14
6/1/08,128.47
6/8/08,128.16
6/15/08,134.8
6/22/08,134.34
6/29/08,137
7/6/08,142.52
7/13/08,139.95
7/20/08,135.37
7/27/08,125.92
8/3/08,124.57
8/10/08,118.8
8/17/08,114.4
8/24/08,115.7
8/31/08,116.09
9/7/08,108.37
9/14/08,102.88
9/21/08,97.19
9/28/08,111.12
10/5/08,96.59
10/12/08,86.24
10/19/08,75.19
10/26/08,68.56
11/2/08,65.21
11/9/08,64.31
11/16/08,58.6
11/23/08,52.26
11/30/08,53.27
12/7/08,45.6
12/14/08,44.57
12/21/08,39.7
12/28/08,32.98
1/4/09,42.4
1/11/09,44.46
1/18/09,36.73
1/25/09,42.15
2/1/09,42.7
2/8/09,40.78
2/15/09,36.94
2/22/09,37.15
3/1/09,41.1
3/8/09,43.18
3/15/09,45.66
3/22/09,49.49
3/29/09,52.99
4/5/09,50.34
4/12/09,50.46
4/19/09,49.86
4/26/09,47.8
5/3/09,50.2
5/10/09,55.96
5/17/09,57.94
5/24/09,60.32
5/31/09,64.32
6/7/09,68.11
6/14/09,70.85
6/21/09,70.62
6/28/09,68.58
7/5/09,69.32
7/12/09,61.48
7/19/09,61.29
7/26/09,65.28
8/2/09,67.03
8/9/09,71.58
8/16/09,69.64
8/23/09,70.8
8/30/09,72.37
9/6/09,68.39
9/13/09,70.91
9/20/09,71.32
9/27/09,68.33
10/4/09,68.84
10/11/09,70.8
10/18/09,75.73
10/25/09,80.06
11/1/09,78.47
11/8/09,79
11/15/09,78.24
11/22/09,78.37
11/29/09,76.14
12/6/09,76.81
12/13/09,71.51
12/20/09,71.72
12/27/09,74.76
1/3/10,79.07
1/10/10,82.34
1/17/10,80.06
1/24/10,76.62
1/31/10,73.94
2/7/10,74.57
2/14/10,73.88
2/21/10,78.25
2/28/10,79.22
3/7/10,80.19
3/14/10,81.76
3/21/10,81.44
3/28/10,80.65
4/4/10,83.01
4/11/10,85.66
4/18/10,84.34
4/25/10,82.9
5/2/10,84.22
5/9/10,80.24
5/16/10,74.98
5/23/10,69.14
5/30/10,70.62
6/6/10,72.91
6/13/10,73.44
6/20/10,76.7
6/27/10,77.06
7/4/10,74.96
7/11/10,74.39
7/18/10,76.35
7/25/10,77.56
8/1/10,78.12
8/8/10,81.79
8/15/10,78.17
8/22/10,74.84
8/29/10,72.91
9/5/10,74.02
9/12/10,74.82
9/19/10,75.62
9/26/10,73.76
10/3/10,78.41
10/10/10,82.29
10/17/10,82.16
10/24/10,81.15
10/31/10,82.03
11/7/10,84.93
11/14/10,86.91
11/21/10,82.23
11/28/10,82.28
12/5/10,86.75
12/12/10,88.5
12/19/10,88.27
12/26/10,89.66
1/2/11,90.97
1/9/11,89.54
1/16/11,91.02
1/23/11,89.75
1/30/11,86.11
2/6/11,89.52
2/13/11,85.51
2/20/11,84.13
2/27/11,95.26
3/6/11,101.05
3/13/11,103.74
3/20/11,99.79
3/27/11,104.41
4/3/11,105.08
4/10/11,109.29
4/17/11,107.75
4/24/11,109.11
5/1/11,112.3
5/8/11,105.84
5/15/11,99.87
5/22/11,97.99
5/29/11,99.55
6/5/11,100.92
6/12/11,100.05
6/19/11,95.87
6/26/11,92.7
7/3/11,93.7
7/10/11,97.12
7/17/11,96.72
7/24/11,98.01
7/31/11,97.83
8/7/11,90.85
8/14/11,82.86
8/21/11,85.36
8/28/11,85.06
9/4/11,88.07
9/11/11,87.91
9/18/11,88.93
9/25/11,83.65
10/2/11,81.18
10/9/11,79.43
10/16/11,85.35
10/23/11,86.82
10/30/11,92.32
11/6/11,93.24
11/13/11,96.97
11/20/11,99.32
11/27/11,96.89
12/4/11,99.91
12/11/11,100.08
12/18/11,96.06
12/25/11,97.74
1/1/12,99.81
1/8/12,102.39
1/15/12,100.43
1/22/12,99.95
1/29/12,99.35
2/5/12,97.8
2/12/12,98.56
2/19/12,101.73
2/26/12,107.18
3/4/12,107.52
3/11/12,106.32
3/18/12,106.15
3/25/12,106.41
4/1/12,105.12
4/8/12,103.52
4/15/12,102.55
4/22/12,103.15
4/29/12,103.78
5/6/12,103.47
5/13/12,96.98
5/20/12,93.11
5/27/12,90.88
6/3/12,87.06
6/10/12,84.43
6/17/12,83.27
6/24/12,81.11
7/1/12,80.23
7/8/12,85.74
7/15/12,85.78
7/22/12,90.34
7/29/12,88.88
8/5/12,89.1
8/12/12,93.14
8/19/12,94.43
8/26/12,96.22
9/2/12,95.68
9/9/12,95.68
9/16/12,97.56
9/23/12,93.7
9/30/12,91.35
10/7/12,90.81
10/14/12,91.42
10/21/12,91.59
10/28/12,86.35
11/4/12,85.87
11/11/12,85.98
11/18/12,85.87
11/25/12,87.4
12/2/12,87.27
12/9/12,87
12/16/12,85.71
12/23/12,88.24
12/30/12,90.14
1/6/13,92.77
1/13/13,93.38
1/20/13,94.58
1/27/13,95.41
2/3/13,97.33
2/10/13,96.18
2/17/13,96.95
2/24/13,94.38
3/3/13,92.19
3/10/13,91
3/17/13,92.7
3/24/13,93.05
3/31/13,96.08
4/7/13,95.07
4/14/13,93.36
4/21/13,88
4/28/13,91
5/5/13,93.4
5/12/13,95.84
5/19/13,94.65
5/26/13,94.76
6/2/13,93.32
6/9/13,94.25
6/16/13,96.36
6/23/13,96.65
6/30/13,95.83
7/7/13,100.65
7/14/13,104.7
7/21/13,106.88
7/28/13,105.88
8/4/13,105.54
8/11/13,105.17
8/18/13,106.97
8/25/13,105.48
9/1/13,108.33
9/8/13,108.77
9/15/13,108.36
9/22/13,106.22
9/29/13,103.1
10/6/13,103.14
10/13/13,102.7
10/20/13,101.51
10/27/13,97.57
11/3/13,96.94
11/10/13,94.31
11/17/13,93.94
11/24/13,93.92
12/1/13,92.97
12/8/13,96.21
12/15/13,97.23
12/22/13,97.85
12/29/13,99.15
1/5/14,96.47
1/12/14,92.42
1/19/14,92.98
1/26/14,96.19
2/2/14,97.29
2/9/14,97.78
2/16/14,100.21
2/23/14,102.93
3/2/14,102.77
3/9/14,103.07
3/16/14,99.55
3/23/14,99.77
3/30/14,100.66
4/6/14,100.46
4/13/14,102.72
