Date,oil_production
1/22/21,10900
1/15/21,11000
1/8/21,11000
1/1/21,11000
12/25/20,11000
12/18/20,11000
12/11/20,11000
12/4/20,11100
11/27/20,11100
11/20/20,11000
11/13/20,10900
11/6/20,10500
10/30/20,10500
10/23/20,11100
10/16/20,9900
10/9/20,10500
10/2/20,11000
9/25/20,10700
9/18/20,10700
9/11/20,10900
9/4/20,10000
8/28/20,9700
8/21/20,10800
8/14/20,10700
8/7/20,10700
7/31/20,11000
7/24/20,11100
7/17/20,11100
7/10/20,11000
7/3/20,11000
6/26/20,11000
6/19/20,11000
6/12/20,10500
6/5/20,11100
5/29/20,11200
5/22/20,11400
5/15/20,11500
5/8/20,11600
5/1/20,11900
4/24/20,12100
4/17/20,12200
4/10/20,12300
4/3/20,12400
3/27/20,13000
3/20/20,13000
3/13/20,13100
3/6/20,13000
2/28/20,13100
2/21/20,13000
2/14/20,13000
2/7/20,13000
1/31/20,12900
1/24/20,13000
1/17/20,13000
1/10/20,13000
1/3/20,12900
12/27/19,12900
12/20/19,12900
12/13/19,12800
12/6/19,12800
11/29/19,12900
11/22/19,12900
11/15/19,12800
11/8/19,12800
11/1/19,12600
10/25/19,12600
10/18/19,12600
10/11/19,12600
10/4/19,12600
9/27/19,12400
9/20/19,12500
9/13/19,12400
9/6/19,12400
8/30/19,12400
8/23/19,12500
8/16/19,12300
8/9/19,12300
8/2/19,12300
7/26/19,12200
7/19/19,11300
7/12/19,12000
7/5/19,12300
6/28/19,12200
6/21/19,12100
6/14/19,12200
6/7/19,12300
5/31/19,12400
5/24/19,12300
5/17/19,12200
5/10/19,12100
5/3/19,12200
4/26/19,12300
4/19/19,12200
4/12/19,12100
4/5/19,12200
3/29/19,12200
3/22/19,12100
3/15/19,12100
3/8/19,12000
3/1/19,12100
2/22/19,12100
2/15/19,12000
2/8/19,11900
2/1/19,11900
1/25/19,11900
1/18/19,11900
1/11/19,11900
1/4/19,11700
12/28/18,11700
12/21/18,11700
12/14/18,11600
12/7/18,11600
11/30/18,11700
11/23/18,11700
11/16/18,11700
11/9/18,11700
11/2/18,11600
10/26/18,11200
10/19/18,10900
10/12/18,10900
10/5/18,11200
9/28/18,11100
9/21/18,11100
9/14/18,11000
9/7/18,10900
8/31/18,11000
8/24/18,11000
8/17/18,11000
8/10/18,10900
8/3/18,10800
7/27/18,10900
7/20/18,11000
7/13/18,11000
7/6/18,10900
6/29/18,10900
6/22/18,10900
6/15/18,10900
6/8/18,10900
6/1/18,10800
5/25/18,10769
5/18/18,10725
5/11/18,10723
5/4/18,10703
4/27/18,10619
4/20/18,10586
4/13/18,10540
4/6/18,10525
3/30/18,10460
3/23/18,10433
3/16/18,10407
3/9/18,10381
3/2/18,10369
2/23/18,10283
2/16/18,10270
2/9/18,10271
2/2/18,10251
1/26/18,9919
1/19/18,9878
1/12/18,9750
1/5/18,9492
12/29/17,9782
12/22/17,9754
12/15/17,9789
12/8/17,9780
12/1/17,9707
11/24/17,9682
11/17/17,9658
11/10/17,9645
11/3/17,9620
10/27/17,9553
10/20/17,9507
10/13/17,8406
10/6/17,9480
9/29/17,9561
9/22/17,9547
9/15/17,9510
9/8/17,9353
9/1/17,8781
8/25/17,9530
8/18/17,9528
8/11/17,9502
8/4/17,9423
7/28/17,9430
7/21/17,9410
7/14/17,9429
7/7/17,9397
6/30/17,9338
6/23/17,9250
6/16/17,9350
6/9/17,9330
6/2/17,9318
5/26/17,9342
5/19/17,9320
5/12/17,9305
5/5/17,9314
4/28/17,9293
4/21/17,9265
4/14/17,9252
4/7/17,9235
3/31/17,9199
3/24/17,9147
3/17/17,9129
3/10/17,9109
3/3/17,9088
2/24/17,9032
2/17/17,9001
2/10/17,8977
2/3/17,8978
1/27/17,8915
1/20/17,8961
1/13/17,8944
1/6/17,8946
12/30/16,8770
12/23/16,8766
12/16/16,8786
12/9/16,8796
12/2/16,8697
11/25/16,8699
11/18/16,8690
11/11/16,8681
11/4/16,8692
10/28/16,8522
10/21/16,8504
10/14/16,8464
10/7/16,8450
9/30/16,8467
9/23/16,8497
9/16/16,8512
9/9/16,8493
9/2/16,8458
8/26/16,8488
8/19/16,8548
8/12/16,8597
8/5/16,8445
7/29/16,8460
7/22/16,8515
7/15/16,8494
7/8/16,8485
7/1/16,8428
6/24/16,8622
6/17/16,8677
6/10/16,8716
6/3/16,8745
5/27/16,8735
5/20/16,8767
5/13/16,8791
5/6/16,8802
4/29/16,8825
4/22/16,8938
4/15/16,8953
4/8/16,8977
4/1/16,9008
3/25/16,9022
3/18/16,9038
3/11/16,9068
3/4/16,9078
2/26/16,9077
2/19/16,9102
2/12/16,9135
2/5/16,9186
1/29/16,9214
1/22/16,9221
1/15/16,9235
1/8/16,9227
1/1/16,9219
12/25/15,9202
12/18/15,9179
12/11/15,9176
12/4/15,9164
11/27/15,9202
11/20/15,9165
11/13/15,9182
11/6/15,9185
10/30/15,9160
10/23/15,9112
10/16/15,9096
