,Date,co2,NG_F,coal-f,NG_S,crude,co2_diff,crude_diff,crude_diff_3,NG_F_5
0,2000/8/28,367.7,4.835,,4.63,32.869999,-0.38,,,
1,2000/9/4,367.32,4.88,,4.66,32.869999,-0.38,0,,
2,2000/9/11,367.33,5.205,,4.82,35.099998,0.01,2.229999,,
3,2000/9/18,366.86,5.131,,5.05,36.880001,-0.47,1.780003,,
4,2000/9/25,366.86,5.2,,5.17,31.57,0,-5.310001,0,
5,2000/10/2,366.78,5,,5.21,32.150002,-0.08,0.580002,2.229999,4.835
6,2000/10/9,366.88,5.535,,5.2,31.879999,0.1,-0.270003,1.780003,4.88
7,2000/10/16,367.14,4.937,,5.26,33.099998,0.26,1.219999,-5.310001,5.205
8,2000/10/23,367.62,4.53,,5.17,33.73,0.48,0.630002,0.580002,5.131
9,2000/10/30,368,4.91,,4.68,32.810001,0.38,-0.919999,-0.270003,5.2
10,2000/11/6,368.2,5.46,,4.49,32.860001,0.2,0.05,1.219999,5
11,2000/11/13,368.75,6.12,,4.96,34.43,0.55,1.569999,0.630002,5.535
12,2000/11/20,368.64,6.577,,5.78,35.220001,-0.11,0.790001,-0.919999,4.937
13,2000/11/27,368.85,6.675,,6.29,35.380001,0.21,0.16,0.05,4.53
14,2000/12/4,369.84,8.585,,6.18,31.299999,0.99,-4.080002,1.569999,4.91
15,2000/12/11,369.83,8.4,,8.16,29.450001,-0.01,-1.849998,0.790001,5.46
16,2000/12/18,369.81,9.579,,8.37,29.65,-0.02,0.199999,0.16,6.12
17,2000/12/25,370.02,9.775,,9.86,29.65,0.21,0,-4.080002,6.577
18,2001/1/1,370.34,9.25,,9.88,29.65,0.32,0,-1.849998,6.675
19,2001/1/8,370.46,8.472,,9.79,27.35,0.12,-2.3,0.199999,8.585
20,2001/1/15,370.84,7.48,,9.57,27.35,0.38,0,0,8.4
21,2001/1/22,370.69,7.28,,7.68,32,-0.15,4.65,0,9.579
22,2001/1/29,371.53,6.743,,7.07,29.059999,0.84,-2.940001,-2.3,9.775
23,2001/2/5,371.76,6.21,,6.23,30.5,0.23,1.440001,0,9.25
24,2001/2/12,372.14,5.568,,5.98,30.549999,0.38,0.049999,4.65,8.472
25,2001/2/19,371.66,5.15,,5.63,30.549999,-0.48,0,-2.940001,7.48
26,2001/2/26,371.9,5.275,,5.13,28.440001,0.24,-2.109998,1.440001,7.28
27,2001/3/5,372.37,5.08,,5.14,28.6,0.47,0.159999,0.049999,6.743
28,2001/3/12,372.67,5.03,,5.24,28,0.3,-0.6,0,6.21
